prompt,category
Implement a function to find the Fibonacci sequence in Python.,Code Generation Task
Create a program that sorts an array in descending order using Java.,Code Generation Task
Write a Python script to download and parse data from a website.,Code Generation Task
Design a Python script to fetch real-time weather data using an API and display it.,Code Generation Task
Write a program in Java that generates a random password with a specified length.,Code Generation Task
Create a Python function to reverse a linked list without using additional data structures.,Code Generation Task
Implement a binary tree in C++ and write a function to perform an in-order traversal.,Code Generation Task
Develop a program in Python to count the frequency of words in a given text file.,Code Generation Task
Build a Java application that reads data from an Excel file and performs basic calculations.,Code Generation Task
Write a C# program that simulates a basic inventory management system with add and remove operations.,Code Generation Task
Generate a poem about the beauty of nature.,Text Generation Task
Compose a short story about a time-traveling adventure.,Text Generation Task
Craft a dialogue between a scientist and an AI discussing the ethical implications of cloning technology.,Text Generation Task
Write a poem inspired by the concept of time travel and its impact on personal relationships.,Text Generation Task
Compose a short story set in a world where humans coexist with intelligent alien species.,Text Generation Task
Imagine and describe a conversation between historical figures discussing modern technology.,Text Generation Task
Create a fictional news article reporting the discovery of a new habitable exoplanet.,Text Generation Task
Write a dialogue between two characters debating the pros and cons of virtual reality technology.,Text Generation Task
Develop a monologue for a character in a science fiction setting reflecting on the nature of consciousness.,Text Generation Task
Craft a short story about a group of explorers uncovering ancient artifacts with mysterious powers.,Text Generation Task
Translate the sentence 'Hello how are you?' into French.,Translation and Multilingual Applications Task
Provide the German translation for the phrase "Good morning.",Translation and Multilingual Applications Task
Translate the following passage from English to Spanish.,Translation and Multilingual Applications Task
"Translate 'I love you' into Italian.",Translation and Multilingual Applications Task
"Provide the Japanese translation for 'Good night'.",Translation and Multilingual Applications Task
"Translate the English phrase 'Where is the library?' into Spanish.",Translation and Multilingual Applications Task
"Translate 'Thank you very much' into French.",Translation and Multilingual Applications Task
"Provide the German translation for 'Have a nice day'.",Translation and Multilingual Applications Task
"Translate 'See you later' into Chinese.",Translation and Multilingual Applications Task
"Translate the English sentence 'I am a student' into Russian.",Translation and Multilingual Applications Task
Perform sentiment analysis on a given text using machine learning.,Natural Language Processing Task
Extract named entities from a sample text using NLP techniques.,Natural Language Processing Task
Implement a text summarization algorithm in Python.,Natural Language Processing Task
"Develop a Python program to perform text classification using Naive Bayes.",Natural Language Processing Task
"Create a Named Entity Recognition system using Spacy in Python.",Natural Language Processing Task
"Implement a sentiment analysis tool using LSTM in Python.",Natural Language Processing Task
"Build a Python program to perform topic modeling on a given text corpus.",Natural Language Processing Task
"Design a text classification model using BERT in Python.",Natural Language Processing Task
"Implement a Python program to perform part-of-speech tagging.",Natural Language Processing Task
"Develop a Python program to perform text clustering using K-means.",Natural Language Processing Task
Build a chatbot that can answer questions about general knowledge.,Conversational AI Task
Create a conversational agent that can assist users in making travel plans.,Conversational AI Task
Develop a chatbot for a customer service scenario.,Conversational AI Task
"Design a chatbot that can provide weather updates.",Conversational AI Task
"Create a conversational agent that can help users order food online.",Conversational AI Task
"Develop a chatbot that can provide information about COVID-19.",Conversational AI Task
"Build a chatbot that can answer questions about a specific movie.",Conversational AI Task
"Create a conversational agent that can assist users in booking movie tickets.",Conversational AI Task
"Develop a chatbot for a banking customer service scenario.",Conversational AI Task
"Build a chatbot that can answer questions about Microsoft products.",Conversational AI Task
Design an educational game to teach basic mathematics to children.,Educational Applications Task
Build a mobile app that helps users learn a new language through quizzes.,Educational Applications Task
Develop an interactive simulation to teach historical events.,Educational Applications Task
"Design an educational game to teach children about the solar system.",Educational Applications Task
"Build a mobile app that helps users learn programming through interactive coding exercises.",Educational Applications Task
"Develop an interactive simulation to teach physics concepts like gravity and friction.",Educational Applications Task
"Create an educational game to help students improve their vocabulary.",Educational Applications Task
"Design a mobile app that uses flashcards to help users learn new words in a foreign language.",Educational Applications Task
"Develop an interactive simulation to teach the process of photosynthesis.",Educational Applications Task
"Build an educational game to teach children about different types of animals.",Educational Applications Task
Design a system to monitor the vital signs of a patient in real-time.,Healthcare and Medical Task
Create a program that analyzes medical data to predict disease outcomes.,Healthcare and Medical Task
Implement an algorithm to detect anomalies in medical images.,Healthcare and Medical Task
"Design a system to predict patient readmission rates based on electronic health records.",Healthcare and Medical Task
"Create a program that uses machine learning to predict the progression of diabetes.",Healthcare and Medical Task
"Implement an algorithm to classify different types of cancer cells based on microscopic images.",Healthcare and Medical Task
"Develop a mobile app to track and analyze a user's sleep patterns.",Healthcare and Medical Task
"Design a system that uses AI to recommend personalized fitness routines.",Healthcare and Medical Task
"Create a program that uses natural language processing to analyze patient feedback.",Healthcare and Medical Task
"Implement an algorithm to detect signs of pneumonia in chest X-ray images.",Healthcare and Medical Task
Research and summarize the legal requirements for starting a business.,Legal Task
Write a legal document outlining the terms and conditions for a website.,Legal Task
Create a contract for a freelance web development project.,Legal Task
"Research and summarize the legal implications of copyright infringement.",Legal Task
"Write a legal document outlining the privacy policy for a mobile app.",Legal Task
"Create a non-disclosure agreement for a software development project.",Legal Task
"Research and summarize the legal process for patenting a new invention.",Legal Task
"Write a legal document outlining the user agreement for a new software product.",Legal Task
"Create a contract for a freelance graphic design project.",Legal Task
"Research and summarize the legal requirements for setting up a non-profit organization.",Legal Task
Predict the stock prices of major tech companies for the next month.,Financial Task
Analyze financial data to identify potential investment opportunities.,Financial Task
Develop a budgeting app to help users manage their finances.,Financial Task
"Predict the future value of Bitcoin based on historical data.",Financial Task
"Analyze financial data to assess the credit risk of a potential borrower.",Financial Task
"Develop a personal finance app to track income and expenses.",Financial Task
"Create a machine learning model to detect fraudulent transactions.",Financial Task
"Analyze the financial statements of a company to evaluate its profitability.",Financial Task
"Develop a trading algorithm based on technical analysis indicators.",Financial Task
"Predict the future sales of a retail store based on historical data.",Financial Task
Recommend movies similar to "The Shawshank Redemption.",Content Recommendation Task
Suggest books for someone who enjoyed reading "Harry Potter.",Content Recommendation Task
Build a content recommendation system for an online streaming platform.,Content Recommendation Task
"Recommend songs for someone who enjoys listening to 'The Beatles'.",Content Recommendation Task
"Suggest TV shows for someone who enjoyed watching 'Friends'.",Content Recommendation Task
"Build a content recommendation system for an online bookstore.",Content Recommendation Task
"Recommend podcasts for someone interested in technology and innovation.",Content Recommendation Task
"Suggest books for someone who enjoyed reading 'The Lord of the Rings'.",Content Recommendation Task
"Recommend movies similar to 'Inception'.",Content Recommendation Task
"Build a content recommendation system for a news website.",Content Recommendation Task
